zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
11210,36047,x,04015,Brooklyn,14,Flatbush & Midwood,Flatbush,0.481,0.188
11211,36047,x,04001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1,0.611
11212,36047,x,04007,Brooklyn,16,Brownsville & Ocean Hill,Brownsville/Ocean Hill,0.693,0.49
11213,36047,x,04006,Brooklyn,8,Crown Heights North & Prospect Heights,North Crown Heights/Prospect Heights,0.771,0.4
11214,36047,x,04017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.904,0.441
11215,36047,x,04005,Brooklyn,6,"Park Slope, Carroll Gardens & Red Hook",Park Slope/Carroll Gardens,0.843,0.505
11216,36047,x,04003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.509,0.206
11217,36047,x,04004,Brooklyn,2,Brooklyn Heights & Fort Greene,Brooklyn Heights/Fort Greene,0.557,0.168
11218,36047,x,04014,Brooklyn,12,"Borough Park, Kensington & Ocean Parkway",Borough Park,0.676,0.311
11219,36047,x,04014,Brooklyn,12,"Borough Park, Kensington & Ocean Parkway",Borough Park,0.689,0.389
11220,36047,x,04012,Brooklyn,7,Sunset Park & Windsor Terrace,Sunset Park,0.865,0.585
11221,36047,x,04003,Brooklyn,3,Bedford-Stuyvesant,Bedford Stuyvesant,0.51,0.3
11222,36047,x,04001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1,0.25
11223,36047,x,04017,Brooklyn,11,Bensonhurst & Bath Beach,Bensonhurst,0.391,0.17
